code,name,now,close_20250407,close_20240923,pct_avg_drop
600529,山东药玻,18.66,21.42,25.04,19.67
600764,中国海防,18.74,25.63,21.01,19.64
601811,新华文轩,11.46,14.94,13.58,19.64
603918,金桥信息,9.76,13.92,10.37,19.64
600706,曲江文旅,7.07,9.24,8.35,19.61
000731,四川美丰,5.28,6.6,6.52,19.51
601136,首创证券,14.68,19.3,17.17,19.5
603982,泉峰汽车,5.9,7.41,7.24,19.45
000910,大亚圣象,5.37,7.22,6.11,19.43
600690,海尔智家,20.58,23.58,27.48,19.39
001379,腾达科技,16.36,18.71,21.85,19.33
000550,江铃汽车,16.62,19.98,21.2,19.28
601900,南方传媒,11.14,14.98,12.55,19.07
600587,新华医疗,12.42,14.78,15.9,19.04
603307,扬州金泉,24.65,33.75,27.14,19.03
000800,一汽解放,6.19,7.13,8.15,18.98
003012,东鹏控股,4.59,6.01,5.32,18.98
603381,永臻股份,15.77,19.5,19.43,18.98
601928,凤凰传媒,8.91,11.33,10.65,18.93
000557,西部创业,3.65,5,4,18.89
000897,津滨发展,1.7,2.1,2.09,18.85
002332,仙琚制药,8.38,9.14,11.5,18.8
600127,金健米业,5.39,6.95,6.31,18.7
000819,岳阳兴长,11.92,14.2,15.12,18.69
002302,西部建设,4.45,5.51,5.43,18.65
601390,中国中铁,4.28,5.34,5.18,18.63
002027,分众传媒,4.9,6.44,5.6,18.6
603237,五芳斋,13.2,17.22,15.2,18.57
603168,莎普爱思,5.08,6.31,6.16,18.52
603327,福蓉科技,8.86,10.91,10.81,18.42
600007,中国国贸,19.05,21.3,25.28,18.21
603037,凯众股份,10.65,14.38,11.64,18.14
603628,清源股份,9.63,11.56,11.96,18.11
600606,绿地控股,1.27,1.64,1.46,18.06
600597,光明乳业,6.33,7.86,7.58,18.01
603000,人民网,15.32,19.02,18.35,18.01
600873,梅花生物,7.91,10.33,8.95,17.95
603721,中广天择,17.61,22.33,20.5,17.77
600271,航天信息,6.76,8.01,8.42,17.71
000829,天音控股,7.58,9.61,8.81,17.7
601038,一拖股份,11.98,12.42,16.66,17.61
600675,中华企业,2.12,2.49,2.65,17.51
600377,宁沪高速,12.01,15.34,13.72,17.34
002777,久远银海,12.36,16.11,13.75,17.21
002459,晶澳科技,8.27,10.05,9.92,17.18
002223,鱼跃医疗,26.6,33.7,30.49,17.12
002096,易普力,9.08,10.81,11.09,17.08
002343,慈文传媒,4.65,6.08,5.13,17.04
000723,美锦能源,3.37,4.07,4.05,17
000912,泸天化,3.4,4.28,3.91,16.97
603477,巨星农牧,15.21,21,15.59,16.86
605339,南侨食品,12.3,15.02,14.57,16.86
600996,贵广网络,6.73,8.66,7.51,16.76
002660,茂硕电源,6.66,8.69,7.3,16.7
001298,好上好,20.06,23.02,25.11,16.64
000028,国药一致,20.36,24.04,24.79,16.61
600668,尖峰集团,7.58,9.93,8.25,16.61
600941,中国移动,87.48,108.45,101.05,16.49
603768,常青股份,10.02,11.34,12.65,16.47
000705,浙江震元,6.28,7.38,7.65,16.43
001201,东瑞股份,11.44,13.67,13.7,16.4
001914,招商积余,8.49,11.26,9.05,16.4
600006,东风股份,5.31,6.77,5.93,16.38
600997,开滦股份,5.16,6.26,6.08,16.37
601801,皖新传媒,5.16,6.48,5.86,16.37
002086,东方海洋,1.79,2.39,1.89,16.36
002352,顺丰控股,32.47,40.07,37.56,16.35
603153,上海建科,13.45,16.31,15.79,16.2
603786,科博达,44.28,53.42,52.26,16.2
600970,中材国际,7.31,8.54,8.89,16.12
601186,中国铁建,6.12,7.6,6.98,16.05
603136,天目湖,8.77,11.03,9.86,16.04
002101,广东鸿图,9.29,11.86,10.26,16
600050,中国联通,4.07,5.2,4.49,16
600655,豫园股份,4.28,5.09,5.1,16
600359,新农开发,5.65,7.52,5.92,15.92
600399,抚顺特钢,4.24,5.16,4.92,15.87
002401,中远海科,11.92,14.09,14.23,15.82
002908,德生科技,6.65,8.07,7.73,15.82
603069,海汽集团,13.01,15.68,15.2,15.74
002790,瑞尔特,5.72,7.12,6.45,15.7
600540,新赛股份,3.44,4.69,3.47,15.69
002007,华兰生物,12.88,16.45,14.1,15.68
002085,万丰奥威,11.47,15.4,11.8,15.66
000011,深物业A,6.63,7.68,8.04,15.65
002405,四维图新,6.56,8,7.55,15.63
002327,富安娜,6.45,7.9,7.38,15.58
000712,锦龙股份,9.05,11.32,10.1,15.5
600332,白云山,21.19,25.24,24.91,15.49
601816,京沪高铁,4.63,5.57,5.38,15.43
000812,陕西金叶,3.25,4.1,3.58,15.36
002355,兴民智通,4.39,5.72,4.65,15.33
603888,新华网,17.16,20.64,19.89,15.32
002605,姚记科技,18.95,25.42,19.33,15.31
603719,良品铺子,9.01,11.04,10.22,15.24
603609,禾丰股份,6.33,8.25,6.67,15.15
600398,海澜之家,5.56,7.52,5.58,15.11
600582,天地科技,4.72,5.77,5.35,15.11
000886,海南高速,4.2,5.57,4.32,15.07
603602,纵横通信,11.3,14.65,11.96,15.07
600674,川投能源,14.58,16.59,17.72,15.01
601500,通用股份,3.88,4.74,4.39,15.01
002351,漫步者,9.51,12.73,9.64,14.98
601222,林洋能源,5.46,5.98,6.86,14.95
002771,真视通,13.87,14.93,17.68,14.93
600763,通策医疗,35.68,41.4,42.45,14.9
603178,圣龙股份,15.68,17.94,18.88,14.83
600876,凯盛新能,7.25,8.66,8.36,14.81
605507,国邦医药,15.76,19.22,17.78,14.81
003029,吉大正元,16.26,19.84,18.29,14.71
002234,民和股份,7.09,9.32,7.29,14.63
603033,三维股份,9.95,10.34,12.95,14.56
603230,内蒙新华,9.11,11.16,10.15,14.5
600648,外高桥,8.47,10.81,8.99,14.44
000030,富奥股份,4.09,5.18,4.37,14.35
600771,广誉远,14.13,16.3,16.67,14.29
603970,中农立华,10.31,12.29,11.76,14.26
605077,华康股份,11.15,13.78,12.23,14.26
000789,万年青,3.94,4.86,4.33,14.25
601065,江盐集团,7,8.09,8.22,14.16
600757,长江传媒,7.31,8.83,8.2,14.15
600866,星湖科技,4.67,6.03,4.85,14.15
601808,中海油服,11.2,12.64,13.44,14.11
600027,华电国际,4.54,5.29,5.28,14.1
001322,箭牌家居,6.31,7.34,7.35,14.09
605266,健之佳,16.02,19.31,17.98,14.08
002390,信邦制药,2.74,3.42,2.95,13.97
000797,中国武夷,2.28,2.61,2.69,13.96
601828,美凯龙,2.13,2.77,2.18,13.94
600925,苏能股份,4.26,4.92,4.97,13.85
002224,三力士,3.44,4.19,3.79,13.78
002590,万安科技,10.39,11.72,12.38,13.78
600551,时代出版,6.78,7.72,8,13.74
603882,金域医学,23.86,28.53,26.68,13.57
600613,神奇制药,4.81,5.87,5.25,13.49
600548,深高速,8.68,10.66,9.39,13.42
000009,中国宝安,6.39,7.36,7.4,13.41
600335,国机汽车,4.98,6.07,5.43,13.39
002232,启明信息,14.86,16.37,17.92,13.33
000423,东阿阿胶,47.09,60.96,47.64,13.28
000505,京粮控股,5.3,6.37,5.85,13.26
603363,傲农生物,2.88,3.27,3.37,13.25
002705,新宝股份,11.62,13.47,13.31,13.22
002395,双象股份,12.56,16.29,12.65,13.2
603323,苏农银行,4.01,4.9,4.34,13.2
000031,大悦城,2.14,2.41,2.52,13.18
603096,新经典,14.21,17.78,14.93,13.12
600975,新五丰,4.81,5.94,5.13,13.1
600560,金自天正,11.57,14.47,12.15,13.07
603197,保隆科技,30.23,37.58,31.96,13.06
000501,武商集团,7.08,9.17,7.11,13.02
603568,伟明环保,15.68,18.59,17.4,12.86
600018,上港集团,4.86,5.45,5.7,12.83
600131,国网信通,14.56,17.01,16.39,12.81
600515,海南机场,2.79,3.29,3.1,12.68
001299,美能能源,10.43,13.15,10.72,12.61
000516,国际医学,4,5.04,4.11,12.57
600004,白云机场,7.51,8.45,8.73,12.57
002612,朗姿股份,11.92,14.56,12.7,12.55
600035,楚天高速,3.45,4.15,3.74,12.55
000529,广弘控股,4.63,5.64,4.93,12.39
002819,东方中科,21.1,23.28,24.89,12.39
605218,伟时电子,16.08,19.05,17.61,12.27
002661,克明食品,7.37,8.68,8.1,12.16
002416,爱施德,9.09,11.39,9.29,12.09
002146,荣盛发展,1.13,1.34,1.23,12.06
600971,恒源煤电,7.25,7.55,8.92,11.96
002561,徐家汇,6.43,7.35,7.25,11.92
002362,汉王科技,15.55,19.64,15.65,11.87
000513,丽珠集团,30.39,33.8,35.16,11.86
603113,金能科技,4.32,5.26,4.54,11.84
002959,小熊电器,33.37,38.91,36.78,11.82
600833,第一医药,9.77,11.49,10.67,11.82
001205,盛航股份,13.81,16.52,14.8,11.81
002454,松芝股份,5.12,6.17,5.44,11.8
600116,三峡水利,5.72,6.41,6.56,11.8
600848,上海临港,7.75,8.7,8.87,11.78
600803,新奥股份,16.5,19.36,18.02,11.72
600787,中储股份,4.36,5.46,4.41,11.65
600620,天宸股份,4.1,4.6,4.68,11.64
600299,安迪苏,8.47,9.43,9.74,11.63
000930,中粮科技,4.46,5.4,4.69,11.6
600386,北巴传媒,3.28,4.06,3.36,11.59
000983,山西焦煤,6.23,6.45,7.64,11.57
600650,锦江在线,10.13,12.46,10.45,11.57
603055,台华新材,8.7,10.1,9.55,11.45
601818,光大银行,2.98,3.59,3.14,11.44
603889,新澳股份,5.39,5.87,6.3,11.42
002059,云南旅游,4.36,5.12,4.72,11.38
603528,多伦科技,6.07,7.48,6.2,11.26
002244,滨江集团,8.01,9.35,8.7,11.25
600765,中航重机,13.59,14.62,15.97,11.15
601607,上海医药,16.12,17.8,18.47,11.11
600886,国投电力,13.42,14.39,15.8,11.1
600284,浦东建设,5.02,6.21,5.06,10.91
002960,青鸟智控,8.76,10.75,8.91,10.89
601702,华峰铝业,14.22,17.15,14.75,10.85
600062,华润双鹤,17.07,17.63,20.66,10.84
600185,珠免集团,4.58,5.41,4.86,10.81
600420,国药现代,8.92,9.84,10.16,10.8
600917,重庆燃气,4.73,5.29,5.31,10.75
600679,上海凤凰,9.2,11.18,9.43,10.72
002507,涪陵榨菜,11.17,12.62,12.4,10.71
601668,中国建筑,4.48,5.08,4.95,10.67
001277,速达股份,28.89,33.71,30.89,10.56
002262,恩华药业,19.98,20.84,23.83,10.54
002818,富森美,10.55,12.11,11.46,10.48
002727,一心堂,10.36,11.81,11.33,10.46
002152,广电运通,9.51,11.69,9.55,10.45
601158,重庆水务,4.01,4.68,4.27,10.39
600566,济川药业,22.47,25.99,24.14,10.35
603566,普莱柯,10.45,12.25,11.06,10.34
600463,空港股份,8.07,8.4,9.6,10.33
600155,华创云信,5.67,6.55,6.09,10.28
600643,爱建集团,3.86,4.52,4.08,10.23
000090,天健集团,3.09,3.47,3.41,10.17
600016,民生银行,3.28,3.8,3.5,10.14
002022,科华生物,4.88,5.31,5.55,10.13
003000,劲仔食品,10.24,12.26,10.5,10.02
603288,海天味业,34.01,39.3,36.28,10
601990,南京证券,6.73,7.47,7.48,9.97
002381,双箭股份,5.47,6.08,6.07,9.96
600019,宝钢股份,5.59,6.69,5.72,9.91
603260,合盛硅业,45.57,51.5,49.66,9.91
000852,石化机械,5.1,6.15,5.17,9.89
000517,荣安地产,1.69,1.77,1.98,9.87
600328,中盐化工,6.18,6.72,6.99,9.85
603235,天新药业,23.34,26.46,25.27,9.76
603035,常熟汽饰,11.43,13.01,12.3,9.68
002282,博深股份,5.84,7.08,5.85,9.67
002481,双塔食品,3.97,4.73,4.06,9.67
002732,燕塘乳业,13.01,15.05,13.71,9.53
000651,格力电器,38.33,43.3,41.43,9.52
002573,清新环境,3.09,3.52,3.31,9.52
603299,苏盐井神,9.02,9.95,9.98,9.48
002373,千方科技,7.2,8.28,7.62,9.43
002920,德赛西威,86.48,95.7,95.1,9.35
002037,保利联合,6.41,7.27,6.87,9.34
002761,浙江建投,6.95,7.61,7.71,9.27
001338,永顺泰,8.85,10.57,8.93,9.23
000936,华西股份,5.36,6.39,5.41,9.15
600586,金晶科技,4.32,4.59,4.9,8.96
000928,中钢国际,5.04,5.8,5.26,8.86
601188,龙江交通,2.83,3.26,2.95,8.86
000025,特力A,13.9,16.48,14.02,8.85
600256,广汇能源,5.18,5.45,5.91,8.8
603273,天元智能,14.17,15.19,15.87,8.76
600905,三峡能源,3.77,4.17,4.09,8.72
601169,北京银行,5.03,5.9,5.11,8.63
002242,九阳股份,8.31,8.93,9.24,8.53
603689,皖天然气,7.33,7.92,8.1,8.49
002540,亚太科技,4.91,5.75,4.97,8.4
002166,莱茵生物,6.56,7.35,6.97,8.38
002799,环球印务,6.23,6.78,6.82,8.38
603868,飞科电器,30.87,33.08,34.3,8.37
601878,浙商证券,9.75,10.27,11,8.32
601921,浙版传媒,6.9,7.33,7.71,8.24
601128,常熟银行,5.96,6.73,6.24,8.1
600628,新世界,5.82,6.74,5.92,8.06
600133,东湖高新,7.89,8.89,8.24,7.88
001213,中铁特货,3.47,3.82,3.71,7.84
601599,浙文影业,2.88,3.29,2.96,7.84
002597,金禾实业,20.6,22.11,22.53,7.71
603199,九华旅游,32.07,36.8,32.69,7.7
601000,唐山港,4.21,4.28,4.84,7.68
000718,苏宁环球,1.76,1.97,1.84,7.61
600987,航民股份,6.47,6.77,7.23,7.57
002439,启明星辰,12.96,14.7,13.34,7.56
603051,鹿山新材,21.91,22.53,24.81,7.44
601968,宝钢包装,4.06,4.29,4.47,7.31
603408,建霖家居,10.18,11.61,10.35,7.29
601985,中国核电,8.86,8.99,10.12,7.27
000538,云南白药,48.86,55,50.22,7.13
601618,中国中冶,2.54,2.79,2.68,7.13
600273,嘉化能源,6.7,7.44,6.98,7.07
601111,中国国航,6.1,6.92,6.2,7.01
600305,恒顺醋业,6.52,7.06,6.96,6.99
002677,浙江美大,6.23,6.9,6.49,6.95
000895,双汇发展,23.3,26.68,23.38,6.91
601200,上海环境,6.87,7.38,7.38,6.91
601328,交通银行,6.51,7.29,6.68,6.8
000966,长源电力,3.99,4.53,4.03,6.78
603105,芯能科技,7.09,8.09,7.12,6.77
601012,隆基绿能,12.55,14.18,12.73,6.73
603180,金牌家居,15.47,17.07,16.1,6.72
002813,路畅科技,19.95,20.39,22.37,6.69
002722,物产金轮,12.4,13.33,13.24,6.66
601139,深圳燃气,5.9,6.29,6.34,6.57
600266,城建发展,4.06,4.2,4.49,6.56
003020,立方制药,16.25,17.98,16.75,6.42
600916,中国黄金,7.38,7.92,7.85,6.4
600575,淮河能源,3.1,3.29,3.32,6.2
601666,平煤股份,7.83,8.1,8.59,6.17
601298,青岛港,8.07,9.02,8.18,6.16
600017,日照港,2.6,2.9,2.64,6.14
600639,浦东金桥,9.43,10.22,9.86,6.08
000537,绿发电力,7.44,7.91,7.93,6.06
002721,金一文化,2.33,2.5,2.46,6.05
603218,日月股份,10.34,11.52,10.48,6
002053,云南能投,9.57,10.46,9.9,5.99
600056,中国医药,9.12,9.58,9.78,5.79
002268,电科网安,13.55,14.6,14.14,5.71
601568,北元化工,3.49,3.69,3.71,5.68
001269,欧晶科技,20.8,22.23,21.84,5.6
001227,兰州银行,2.04,2.17,2.15,5.56
600511,国药股份,26.94,28.87,28.17,5.54
002098,浔兴股份,6.76,7.43,6.88,5.52
600968,海油发展,3.5,3.51,3.89,5.41
600827,百联股份,7.61,8.46,7.62,5.35
601021,春秋航空,46.72,49.3,49.4,5.33
601279,英利汽车,3.13,3.28,3.33,5.3
600742,富维股份,7.51,8.18,7.64,5.06
000768,中航西飞,20.99,21.7,22.51,5.04
000088,盐田港,4.15,4.36,4.37,4.93
600717,天津港,4.06,4.32,4.22,4.92
600740,山西焦化,3.32,3.45,3.53,4.87
600023,浙能电力,5.47,5.55,5.94,4.79
000068,华控赛格,2.99,3.2,3.08,4.78
600071,凤凰光学,16.94,18.15,17.43,4.78
601456,国联民生,9.02,9.28,9.65,4.7
600820,隧道股份,5.34,5.83,5.37,4.64
601228,广州港,2.91,3.03,3.07,4.59
603606,东方电缆,43.75,46.32,45.38,4.58
000498,山东路桥,4.95,5.38,4.97,4.35
600900,长江电力,27.05,28.33,28.2,4.3
601888,中国中免,53.11,56.57,54.3,4.19
600755,厦门国贸,5.57,5.83,5.78,4.05
002330,得利斯,3.65,3.94,3.66,3.95
603209,兴通股份,13.32,14.1,13.62,3.9
600660,福耀玻璃,50.93,53.68,52.3,3.89
600918,中泰证券,5.46,5.81,5.55,3.87
002060,广东建工,3.09,3.25,3.17,3.74
600008,首创环保,2.79,2.95,2.83,3.46
600929,雪天盐业,4.78,4.82,5.08,3.43
000978,桂林旅游,5.54,5.88,5.59,3.4
601827,三峰环境,7.49,7.74,7.76,3.35
601686,友发集团,5.04,5.09,5.33,3.26
001239,永达股份,13.26,13.46,13.91,3.11
002019,亿帆医药,10.03,10.59,10.1,3.04
600029,南方航空,5.21,5.43,5.28,2.71
601018,宁波港,3.28,3.44,3.3,2.67
002349,精华制药,6.55,6.71,6.7,2.31
603639,海利尔,10.57,10.97,10.62,2.08
000589,贵州轮胎,4.28,4.37,4.36,1.95
601163,三角轮胎,13.2,13.53,13.37,1.86
600830,香溢融通,8.18,8.33,8.28,1.51
603600,永艺股份,9.41,9.6,9.49,1.41
001378,德冠新材,19.91,20.06,20.23,1.17
603536,惠发食品,8.17,8.2,8.32,1.09
605183,确成股份,14.99,15.12,15.17,1.02
000883,湖北能源,4.52,4.57,4.56,0.99
