code,name,close,ma5,pct_above
002923,润都股份,10.9,10.21,6.74
603351,威尔药业,27.66,25.92,6.73
600553,太行水泥,14.98,14.04,6.71
600150,中国船舶,37.15,34.82,6.7
603305,旭升集团,13.03,12.21,6.7
603173,福斯达,38.81,36.38,6.69
603579,荣泰健康,18.88,17.7,6.68
603758,秦安股份,10.23,9.59,6.65
002921,联诚精密,29.95,28.08,6.64
002301,齐心集团,8.09,7.59,6.62
605088,冠盛股份,31.45,29.5,6.62
603626,科森科技,20.73,19.44,6.61
002139,拓邦股份,10.28,9.64,6.59
001228,永泰运,28.6,26.84,6.57
002599,盛通股份,5.58,5.24,6.57
002998,优彩资源,7.46,7,6.57
603233,大参林,17.05,16,6.56
002167,东方锆业,25.04,23.5,6.55
605155,西大门,13.56,12.73,6.54
603713,密尔克卫,79.23,74.39,6.5
600846,同济科技,10.93,10.27,6.47
603179,新泉股份,53.47,50.23,6.46
000887,中鼎股份,19.05,17.9,6.44
002458,益生股份,9.06,8.51,6.44
605222,起帆电缆,25.22,23.69,6.44
002009,天奇股份,21.99,20.67,6.39
600712,南宁百货,5.1,4.79,6.38
002527,新时达,13.95,13.11,6.37
000893,亚钾国际,44.92,42.24,6.35
603223,恒通股份,14.15,13.31,6.34
603190,亚通精工,24.93,23.46,6.27
000024,招商地产,40.5,38.12,6.25
002270,华明装备,20.14,18.96,6.25
601168,西部矿业,29.22,27.5,6.25
603917,合力科技,13.2,12.42,6.25
002283,天润工业,10.24,9.64,6.2
600222,太龙药业,7.91,7.45,6.2
600992,贵绳股份,9.4,8.85,6.19
603759,海天股份,7.7,7.25,6.18
600480,凌云股份,9.2,8.67,6.16
002552,宝鼎科技,65.38,61.59,6.15
603655,朗博科技,31.49,29.67,6.15
603823,百合花,59.88,56.41,6.15
000015,PT中浩A,6.85,6.45,6.14
002742,冀衡医药,3.7,3.49,6.14
603056,德邦股份,18.85,17.76,6.13
603356,华菱精工,18.02,16.98,6.11
603819,神力股份,12.36,11.65,6.11
002392,北京利尔,8.74,8.24,6.09
002755,奥赛康,15.14,14.27,6.08
603768,常青股份,10.02,9.45,6.08
002245,蔚蓝锂芯,20.34,19.18,6.07
002823,凯中精密,15.41,14.53,6.04
603197,保隆科技,30.23,28.51,6.04
603330,天洋新材,8.75,8.25,6.03
002838,道恩股份,34.32,32.37,6.01
601717,中创智领,15.27,14.4,6.01
603211,晋拓股份,35.94,33.91,5.98
002025,航天电器,83.7,78.99,5.96
603266,天龙股份,18.06,17.05,5.95
605007,五洲特纸,14.89,14.05,5.95
605167,利柏特,17.6,16.61,5.95
603109,神驰机电,17.59,16.61,5.93
603320,迪贝电气,19.06,17.99,5.92
603486,科沃斯,54.68,51.62,5.92
603926,铁流股份,19.21,18.14,5.92
603275,众辰科技,41.65,39.34,5.88
600420,国药现代,8.92,8.43,5.86
603131,上海沪工,18.9,17.85,5.86
002313,日海智能,8.12,7.67,5.84
603331,百达精工,11.45,10.82,5.84
002155,湖南黄金,25.93,24.5,5.83
002723,小崧股份,9.57,9.04,5.82
603779,威龙股份,8.25,7.8,5.82
000504,南华生物,7.98,7.54,5.81
002920,德赛西威,86.48,81.74,5.79
603066,音飞储存,10.75,10.16,5.79
603298,杭叉集团,26.27,24.83,5.79
001367,海森药业,20.27,19.16,5.78
002488,金固股份,9.62,9.1,5.76
603901,永创智能,11.65,11.02,5.76
001225,和泰机电,43.45,41.11,5.69
002076,星光股份,2.45,2.32,5.69
600068,葛洲坝,9.93,9.4,5.68
000795,英洛华,9.73,9.21,5.67
601882,海天精工,21.3,20.16,5.64
002933,新兴装备,27.8,26.32,5.63
002982,湘佳股份,12.06,11.42,5.62
600671,天目药业,18.46,17.48,5.61
605598,上海港湾,41.73,39.51,5.61
603666,亿嘉和,30.25,28.65,5.58
000301,东方盛虹,12.55,11.89,5.57
002700,万憬能源,6.68,6.33,5.56
600333,长春燃气,5.49,5.2,5.54
002293,罗莱生活,11.07,10.49,5.53
002563,森马服饰,5.55,5.26,5.51
601369,陕鼓动力,9.05,8.58,5.5
002317,众生药业,27.44,26.01,5.49
600508,上海能源,8.11,7.69,5.49
600562,国睿科技,22.58,21.41,5.46
603726,朗迪集团,35.45,33.62,5.46
603277,银都股份,10.84,10.28,5.43
603686,福龙马,13.89,13.17,5.43
603101,汇嘉时代,6.91,6.56,5.4
605151,西上海,19.27,18.28,5.39
600081,东风科技,9.75,9.25,5.38
603221,爱丽家居,10.71,10.16,5.37
603722,阿科力,39.6,37.58,5.37
600052,东望时代,3.85,3.65,5.36
603829,洛凯股份,17.52,16.63,5.33
000757,浩物股份,3.84,3.65,5.32
600879,航天电子,22.27,21.15,5.32
603969,银龙股份,8.07,7.66,5.32
002737,葵花药业,12.53,11.9,5.31
600272,开开实业,11.12,10.56,5.3
001311,多利科技,17.44,16.56,5.29
002687,乔治白,5.65,5.37,5.29
603035,常熟汽饰,11.43,10.86,5.29
603848,好太太,14.54,13.81,5.29
002793,罗欣药业,4.31,4.09,5.28
605228,神通科技,14.46,13.74,5.26
000407,胜利股份,3.98,3.78,5.24
002468,申通快递,16.31,15.5,5.23
600769,祥龙电业,21.78,20.7,5.23
603665,康隆达,27.75,26.37,5.23
605009,豪悦护理,25.46,24.19,5.23
605186,健麾信息,33.26,31.61,5.23
002651,利君股份,7.92,7.53,5.21
000415,渤海租赁,4.41,4.19,5.2
600885,宏发股份,38.09,36.21,5.2
002061,浙江交科,3.57,3.39,5.19
003007,直真科技,41.44,39.39,5.19
001296,长江材料,20.7,19.68,5.17
603979,金诚信,64.42,61.25,5.17
603577,汇金通,9.86,9.38,5.16
603906,龙蟠科技,29.3,27.87,5.15
000553,安道麦A,5.89,5.6,5.14
003025,思进智能,15.06,14.33,5.12
603903,中持股份,14.15,13.46,5.11
002577,雷柏科技,19.73,18.77,5.1
600331,宏达股份,11.7,11.13,5.1
002154,报喜鸟,3.88,3.69,5.09
002454,松芝股份,5.12,4.87,5.09
002200,交投生态,6.58,6.26,5.08
603669,灵康药业,6.12,5.82,5.08
000565,渝三峡A,6.17,5.87,5.04
002162,悦心健康,3.67,3.49,5.04
002625,光启技术,32.14,30.6,5.04
603048,浙江黎明,19.33,18.4,5.04
000049,德赛电池,24.97,23.77,5.03
001378,德冠新材,19.91,18.96,5.02
603755,日辰股份,24.41,23.24,5.02
603215,比依股份,15,14.28,5.01
605033,美邦股份,18.1,17.24,5.01
000739,普洛药业,18.24,17.37,5
000779,甘咨询,8.4,8,5
600203,福日电子,12.82,12.21,5
605208,永茂泰,16.87,16.07,4.99
002276,万马股份,10.72,10.21,4.97
605116,奥锐特,20.85,19.86,4.97
000410,沈阳机床,5.04,4.8,4.96
002412,汉森制药,6.05,5.76,4.96
002595,豪迈科技,49.55,47.21,4.95
002444,巨星科技,33.2,31.64,4.94
603239,浙江仙通,15.5,14.77,4.94
603087,甘李药业,60.99,58.13,4.93
603939,益丰药房,19.96,19.02,4.92
600215,派斯林,6.25,5.96,4.9
000938,紫光股份,30.28,28.87,4.89
